	Streptomyces rimosus subsp. rimosus ATCC 10970 chromosome, complete genome:50	Streptomyces rimosus R6-500 chromosome:51	Streptomyces rimosus strain ATCC 10970 chromosome, complete genome:58
Streptomyces rimosus subsp. rimosus ATCC 10970 chromosome, complete genome:50	1.0	0.9999407486	0.9999839211
Streptomyces rimosus R6-500 chromosome:51	0.9999407486	1.0	0.9998575070000001
Streptomyces rimosus strain ATCC 10970 chromosome, complete genome:58	0.9999839211	0.9998575070000001	1.0
