	Streptomyces venezuelae strain NRRL B-65442 chromosome:457	Streptomyces venezuelae strain ATCC 21113 chromosome, complete genome:458	Streptomyces venezuelae ATCC 10712 chromosome, complete genome:459	Streptomyces venezuelae strain ATCC 10595 chromosome, complete genome:460
Streptomyces venezuelae strain NRRL B-65442 chromosome:457	1.0	0.9007311177	0.9811335367	0.89314167
Streptomyces venezuelae strain ATCC 21113 chromosome, complete genome:458	0.9562456778	1.0	0.9556473603000001	0.9377818271
Streptomyces venezuelae ATCC 10712 chromosome, complete genome:459	0.9998428894	0.9173329377	1.0	0.9091837361
Streptomyces venezuelae strain ATCC 10595 chromosome, complete genome:460	0.9508774716	0.9404413147	0.9498438667	1.0
