	GCF_000647875.1:768	GCF_002094995.1:769	GCF_004794175.1:770	GCF_009862115.1:771	GCF_011055525.1:772
GCF_000647875.1:768	1	95343	93182	0	95984
GCF_002094995.1:769	95343	1	50229	95259	43190
GCF_004794175.1:770	93182	50229	1	93702	49362
GCF_009862115.1:771	0	95259	93702	1	95984
GCF_011055525.1:772	95984	43190	49362	95984	1
