	Streptomyces sp. SS07 Scaffold1, whole genome shotgun sequence:6	Streptomyces sp. gb14 scaffold1.1.size511486, whole genome shotgun sequence:7	Streptomyces sp. CB02613 scaffold1, whole genome shotgun sequence:8	Streptomyces sp. S063 chromosome, complete genome:9	Streptomyces sp. CS149 scaffold00001, whole genome shotgun sequence:10	Streptomyces sp. CS147 scaffold00001, whole genome shotgun sequence:11	Streptomyces sp. SID8378 SID8378.c1, whole genome shotgun sequence:12	Streptomyces sp. SID5614 SID5614.c1, whole genome shotgun sequence:13	Streptomyces sp. CAI-121 NODE_1003_length_722_cov_724.217, whole genome shotgun sequence:14	Streptomyces sp. CAI 127 NODE_100_length_15574_cov_503.418, whole genome shotgun sequence:15	Streptomyces sp. CAI-68 NODE_10_length_279144_cov_506.951, whole genome shotgun sequence:16	Streptomyces parvus strain JCM 4069 sequence01, whole genome shotgun sequence:17	Streptomyces sp. MBT67 scaffold100_size20057_cov93.5106, whole genome shotgun sequence:18	Streptomyces sp. MBT72 scaffold100_size27005_cov76.8634, whole genome shotgun sequence:19	Streptomyces sp. MBT61 scaffold100_size17480_cov91.7517, whole genome shotgun sequence:20	Streptomyces sp. MBT59 scaffold100_size18955_cov77.6463, whole genome shotgun sequence:21	Streptomyces sp. PgraA7, whole genome shotgun sequence:22
Streptomyces sp. SS07 Scaffold1, whole genome shotgun sequence:6	1.0	0.9742601634	0.9485393015	0.9408908062	0.9468788739	0.9489567598	0.9489472294	0.9748788403	0.9484094897	0.948625625	0.9484700832	0.9469478821	0.9875500486000001	0.9876428253	0.987578339	0.9874488788	0.9489472294
Streptomyces sp. gb14 scaffold1.1.size511486, whole genome shotgun sequence:7	0.9742601634	1.0	0.9475885154	0.9397315846000001	0.9459504993000001	0.9477212785	0.9481046188000001	0.9899659369	0.9472773215	0.9472304735	0.9472875121000001	0.946107727	0.9740917349	0.974056808	0.9741676914	0.9739464002	0.9481046188000001
Streptomyces sp. CB02613 scaffold1, whole genome shotgun sequence:8	0.9485393015	0.9475885154	1.0	0.945420904	0.9678405176	0.9756042512	0.9757810048000001	0.9480816405	0.9701958283000001	0.9704071063	0.970268232	0.9805672166	0.9489312667	0.9487736470000001	0.9489873819	0.9489403391000001	0.9757810048000001
Streptomyces sp. S063 chromosome, complete genome:9	0.9408908062	0.9397315846000001	0.945420904	1.0	0.945408299	0.9436741103	0.9436205374000001	0.9406501089	0.9463223809	0.9460176694	0.9463399987000001	0.9439443212	0.9412298253	0.9409940951	0.9413698183	0.9412937064	0.9436205374000001
Streptomyces sp. CS149 scaffold00001, whole genome shotgun sequence:10	0.9468788739	0.9459504993000001	0.9678405176	0.945408299	1.0	0.9665464599	0.9664446192	0.9468605915	0.9708450402000001	0.9710276086	0.9708538210000001	0.9666601564	0.9473457532	0.9472720316000001	0.9474712946	0.9474933166	0.9664446192
Streptomyces sp. CS147 scaffold00001, whole genome shotgun sequence:11	0.9489567598	0.9477212785	0.9756042512	0.9436741103	0.9665464599	1.0	0.9940405458	0.948362484	0.9688252493	0.9689006281	0.9688271758	0.9756949154000001	0.9491214143000001	0.9490079655	0.9492847782	0.9492113086	0.9940405458
Streptomyces sp. SID8378 SID8378.c1, whole genome shotgun sequence:12	0.9489472294	0.9481046188000001	0.9757810048000001	0.9436205374000001	0.9664446192	0.9940405458	1.0	0.9484376505000001	0.9687485916	0.9688411904	0.9688041471000001	0.9755768676000001	0.9491978385000001	0.9490227466000001	0.9492820518	0.9491480925	1.0
Streptomyces sp. SID5614 SID5614.c1, whole genome shotgun sequence:13	0.9748788403	0.9899659369	0.9480816405	0.9406501089	0.9468605915	0.948362484	0.9484376505000001	1.0	0.9480561105	0.9482010813	0.9480662826	0.9468485549000001	0.9747765603	0.9748270312	0.9749317487	0.9747913314000001	0.9485181447000001
Streptomyces sp. CAI-121 NODE_1003_length_722_cov_724.217, whole genome shotgun sequence:14	0.9484094897	0.9472773215	0.9701958283000001	0.9463223809	0.9708450402000001	0.9688252493	0.9687485916	0.9480561105	1.0	0.9931536046	0.9999301275	0.9693787676000001	0.9488418988	0.9487148474	0.9489884734	0.9488730064	0.9687690464000001
Streptomyces sp. CAI 127 NODE_100_length_15574_cov_503.418, whole genome shotgun sequence:15	0.948625625	0.9472304735	0.9704071063	0.9460176694	0.9710276086	0.9689006281	0.9688411904	0.9482010813	0.9931536046	1.0	0.9931979046	0.9695586742000001	0.9488303673	0.9485784996000001	0.9489661546	0.9488181697	0.9688282480000001
Streptomyces sp. CAI-68 NODE_10_length_279144_cov_506.951, whole genome shotgun sequence:16	0.9484700832	0.9472875121000001	0.970268232	0.9463399987000001	0.9708538210000001	0.9688271758	0.9688041471000001	0.9480662826	0.9999301275	0.9931979046	1.0	0.9694412160000001	0.9488820772000001	0.9487469871	0.9490276516	0.9489017754	0.9688866385
Streptomyces parvus strain JCM 4069 sequence01, whole genome shotgun sequence:17	0.9469478821	0.946107727	0.9805672166	0.9439443212	0.9666601564	0.9756949154000001	0.9755768676000001	0.9468485549000001	0.9693787676000001	0.9695586742000001	0.9694412160000001	1.0	0.9472849019	0.9473902151	0.9475649878	0.9474542924	0.9755255636000001
Streptomyces sp. MBT67 scaffold100_size20057_cov93.5106, whole genome shotgun sequence:18	0.9875500486000001	0.9740917349	0.9489312667	0.9412298253	0.9473457532	0.9491214143000001	0.9491978385000001	0.9747765603	0.9488418988	0.9488303673	0.9488820772000001	0.9472849019	1.0	0.9994657525	0.9993751115	0.9991641133	0.9493081196
Streptomyces sp. MBT72 scaffold100_size27005_cov76.8634, whole genome shotgun sequence:19	0.9876428253	0.974056808	0.9487736470000001	0.9409940951	0.9472720316000001	0.9490079655	0.9490227466000001	0.9748270312	0.9487148474	0.9485784996000001	0.9487469871	0.9473902151	0.9994657525	1.0	0.9995209903000001	0.9994139949	0.9490868583000001
Streptomyces sp. MBT61 scaffold100_size17480_cov91.7517, whole genome shotgun sequence:20	0.987578339	0.9741676914	0.9489873819	0.9413698183	0.9474712946	0.9492847782	0.9492820518	0.9749317487	0.9489884734	0.9489661546	0.9490276516	0.9475649878	0.9993751115	0.9995209903000001	1.0	0.9993188116	0.949307286
Streptomyces sp. MBT59 scaffold100_size18955_cov77.6463, whole genome shotgun sequence:21	0.9874488788	0.9739464002	0.9489403391000001	0.9412937064	0.9474933166	0.9492113086	0.9491480925	0.9747913314000001	0.9488730064	0.9488181697	0.9489017754	0.9474542924	0.9991641133	0.9994139949	0.9993188116	1.0	0.9491621121
Streptomyces sp. PgraA7, whole genome shotgun sequence:22	0.9489472294	0.9481046188000001	0.9757810048000001	0.9436205374000001	0.9664446192	0.9940405458	1.0	0.9485181447000001	0.9687690464000001	0.9688282480000001	0.9688866385	0.9755255636000001	0.9493081196	0.9490868583000001	0.949307286	0.9491621121	1.0
