	Streptomyces lavendulae subsp. lavendulae strain NRRL WC-3542 contig1.1, whole genome shotgun sequence:704	Streptomyces sp. NRRL B-1322 contig1.1, whole genome shotgun sequence:705	Streptomyces sp. NRRL S-98 contig1.1, whole genome shotgun sequence:706	Streptomyces virginiae strain NRRL ISP-5094 contig1.1, whole genome shotgun sequence:707	Streptomyces sp. NRRL S-104 contig1.1, whole genome shotgun sequence:708	Streptomyces sp. WM6349 P397contig1.1, whole genome shotgun sequence:709	Streptomyces sp. XY511 P413contig1.1, whole genome shotgun sequence:710	Streptomyces sp. H021 P429contig1.1, whole genome shotgun sequence:711	Streptomyces sp. WM6373 P401contig1.1, whole genome shotgun sequence:712	Streptomyces sp. XY413 P411contig1.1, whole genome shotgun sequence:713	Streptomyces sp. XY37 P410contig1.1, whole genome shotgun sequence:714	Streptomyces sp. XY533 P414contig1.1, whole genome shotgun sequence:715	Streptomyces sp. XY58 P415contig1.1, whole genome shotgun sequence:716	Streptomyces sp. XY593 P416contig1.1, whole genome shotgun sequence:717	Streptomyces sp. XY66 P418contig1.1, whole genome shotgun sequence:718	Streptomyces sp. H036 P430contig1.1, whole genome shotgun sequence:719	Streptomyces sp. IGB124 P428contig1.1, whole genome shotgun sequence:720	Streptomyces sp. MMG1064 P431contig1.1, whole genome shotgun sequence:721	Streptomyces sp. WAC05950 strain WAC5950 substr. delta orf15 pCRISPomyces AA000328-100_WAC05950, whole genome shotgun sequence:722	Streptomyces sp. INR7 chromosome, complete genome:723	Streptomyces cinnamonensis strain JCM 4019 sequence001, whole genome shotgun sequence:724	Streptomyces cinnamonensis strain NBRC 15873 sequence01, whole genome shotgun sequence:725	Streptomyces cinnamonensis strain DSM 40803 Ga0451095_01, whole genome shotgun sequence:726
Streptomyces lavendulae subsp. lavendulae strain NRRL WC-3542 contig1.1, whole genome shotgun sequence:704	1.0	0.9997693528	0.9647657831	0.9643920361	0.9652634950000001	0.9949089218	0.9942054256	0.9643676487	0.9644462217	0.9643212997	0.9642530121	0.994692384	0.9643086492	0.9945440009000001	0.9642790633	0.9949763142	0.9642709208	0.9643222126000001	0.9950581575	0.9947996585000001	0.9942225695	0.9944430238	0.9944328358000001
Streptomyces sp. NRRL B-1322 contig1.1, whole genome shotgun sequence:705	0.9997693528	1.0	0.9648152207	0.9645072211000001	0.9653143139	0.9949776421000001	0.9943629998000001	0.9644800210000001	0.9644745328000001	0.9643343016	0.9643981547	0.9947802618	0.9644244243000001	0.9945856274	0.9643245677000001	0.9950415576	0.9643518790000001	0.9644226928	0.9950834048	0.9948801760000001	0.9942929417	0.9944805997	0.9944897209
Streptomyces sp. NRRL S-98 contig1.1, whole genome shotgun sequence:706	0.9647657831	0.9648152207	1.0	0.9957935915	0.9998002521	0.9659173495000001	0.9657151947	0.9914326447	0.9915083263000001	0.9916241887	0.9921611116000001	0.9650150607	0.9921808251	0.9647028882	0.9917330097	0.9647717801000001	0.9916475279	0.9922028212	0.9679285561000001	0.9647410246	0.9647859884000001	0.9648421441	0.9648935632000001
Streptomyces virginiae strain NRRL ISP-5094 contig1.1, whole genome shotgun sequence:707	0.9643920361	0.9645072211000001	0.9957935915	1.0	0.9960284049	0.9656628915000001	0.9654358286	0.9917613102	0.9915808986	0.9916826071	0.9925383215	0.9646268265000001	0.9925665061000001	0.9644908012000001	0.9919572005	0.9644931071	0.9919930378	0.9925782513	0.9676198491	0.9644200762	0.9642409072	0.9643648364	0.9643809732
Streptomyces sp. NRRL S-104 contig1.1, whole genome shotgun sequence:708	0.9652634950000001	0.9653143139	0.9998002521	0.9960284049	1.0	0.9664290706	0.9662136216	0.9918464361	0.9918249632	0.9919863684	0.9924906621	0.9655703822	0.992509893	0.9652407763	0.9921011631000001	0.9652800656	0.9919452559	0.9925143692	0.9682583388	0.9652612012	0.9652928013000001	0.9654082849000001	0.9653919352
Streptomyces sp. WM6349 P397contig1.1, whole genome shotgun sequence:709	0.9949089218	0.9949776421000001	0.9659173495000001	0.9656628915000001	0.9664290706	1.0	0.9950977505	0.9654353715	0.9654678967	0.9653706403000001	0.965328595	0.9951478091	0.9654413117	0.9950612928	0.9653124249	0.9996442820000001	0.9651997061	0.9653931875	0.9955393098	0.9950589311	0.9950948063	0.9953438015	0.9953310473
Streptomyces sp. XY511 P413contig1.1, whole genome shotgun sequence:710	0.9942054256	0.9943629998000001	0.9657151947	0.9654358286	0.9662136216	0.9950977505	1.0	0.9654035223	0.9655481595000001	0.9654042180000001	0.9653401142	0.9953591144	0.9654351595	0.995254535	0.9653910446	0.9951485115	0.9652075952	0.9653584418000001	0.9956165842	0.9955263496000001	0.9945054838	0.9947613319	0.9948387741
Streptomyces sp. H021 P429contig1.1, whole genome shotgun sequence:711	0.9643676487	0.9644800210000001	0.9914326447	0.9917613102	0.9918464361	0.9654353715	0.9654035223	1.0	0.9966776939	0.9960259458	0.9959185374	0.9646230441	0.9959025993	0.9644039189	0.9960054057000001	0.9644359426	0.9964008975	0.9959891258	0.9673492434000001	0.9644645725000001	0.9644680706000001	0.9645825986000001	0.9645786103
Streptomyces sp. WM6373 P401contig1.1, whole genome shotgun sequence:712	0.9644462217	0.9644745328000001	0.9915083263000001	0.9915808986	0.9918249632	0.9654678967	0.9655481595000001	0.9966776939	1.0	0.9959084586	0.9960784500000001	0.9646216054000001	0.9960450932	0.9644693577000001	0.9957900112	0.9646233446	0.996319528	0.9960888565	0.9673529792000001	0.9645549675	0.9642745715000001	0.9644131675000001	0.9644233639
Streptomyces sp. XY413 P411contig1.1, whole genome shotgun sequence:713	0.9643212997	0.9643343016	0.9916241887	0.9916826071	0.9919863684	0.9653706403000001	0.9654042180000001	0.9960259458	0.9959084586	1.0	0.9953976781	0.9645275041	0.995370627	0.9642414207000001	0.9955534598	0.9642961465000001	0.9956541583	0.9954231920000001	0.9672845062000001	0.9643392996000001	0.9642763831000001	0.9643677003000001	0.964395984
Streptomyces sp. XY37 P410contig1.1, whole genome shotgun sequence:714	0.9642530121	0.9643981547	0.9921611116000001	0.9925383215	0.9924906621	0.965328595	0.9653401142	0.9959185374	0.9960784500000001	0.9953976781	1.0	0.9645173764	0.9997659914	0.9643576979	0.9953948919000001	0.9643782945	0.9957367035	0.9997985205000001	0.9674763007	0.9644881850000001	0.9642360273	0.9644015319	0.9644024409
Streptomyces sp. XY533 P414contig1.1, whole genome shotgun sequence:715	0.994692384	0.9947802618	0.9650150607	0.9646268265000001	0.9655703822	0.9951478091	0.9953591144	0.9646230441	0.9646216054000001	0.9645275041	0.9645173764	1.0	0.9645397516	0.9951819261	0.9643304585	0.9953705182	0.9645678898000001	0.9645833212	0.9954967733000001	0.995267086	0.9949898560000001	0.9952667484000001	0.9952869575000001
