	GCF_000148465.1:157	GCF_000163875.1:158	GCF_001693675.1:159	GCF_003454755.1:160	GCF_005519465.1:161	GCF_015708605.1:162	GCF_015767735.1:163	GCF_015767755.1:164	GCF_015767775.1:165	GCF_015767795.1:166	GCF_015767815.1:167	GCF_015767855.1:168	GCF_015767875.1:169	GCF_015767895.1:170	GCF_015767915.1:171	GCF_015767935.1:172	GCF_015912395.1:173	GCF_015912435.1:174	GCF_015912455.1:175	GCF_015912465.1:176	GCF_015912875.1:177	GCF_015912895.1:178	GCF_015912925.1:179	GCF_015912945.1:180	GCF_015912975.1:181	GCF_015912985.1:182	GCF_015912995.1:183
GCF_000148465.1:157	1	702	1066	5030	400	491	1062	1257	984	1152	1228	1155	1088	1535	1199	1137	1260	2157	752	1110	1801	1987	2545	1761	1068	1292	1011
GCF_000163875.1:158	702	1	1112	6129	408	445	1080	1293	1024	1187	1250	1173	1128	1523	1202	1145	1069	2324	882	1263	1964	1780	2374	1706	1238	1526	979
GCF_001693675.1:159	1066	1112	1	3575	849	882	292	527	218	350	458	350	315	760	431	374	1358	1628	962	1409	1416	1438	2297	1838	1259	1580	1065
GCF_003454755.1:160	5030	6129	3575	1	4308	4231	3152	4363	3522	4468	3905	3681	4244	4873	3940	3844	2113	2479	961	1392	2135	2200	3174	2602	1265	1574	1064
GCF_005519465.1:161	400	408	849	4308	1	87	817	1078	767	929	1004	922	865	1259	957	887	847	2092	731	1233	1749	1614	2263	1511	1077	1399	840
GCF_015708605.1:162	491	445	882	4231	87	1	848	1076	768	921	1017	942	856	1321	992	923	857	2121	480	915	1605	1630	2138	1750	816	1163	579
GCF_015767735.1:163	1062	1080	292	3152	817	848	1	432	116	222	357	255	225	619	225	242	1368	1611	947	1357	1361	1485	2400	1836	1243	1563	1045
GCF_015767755.1:164	1257	1293	527	4363	1078	1076	432	1	409	328	447	400	309	462	476	335	1753	1835	1113	1466	1686	1741	2697	2113	1330	1669	1216
GCF_015767775.1:165	984	1024	218	3522	767	768	116	409	1	198	338	279	181	474	145	203	1336	1575	932	1341	1329	1447	2367	1801	1235	1548	1030
GCF_015767795.1:166	1152	1187	350	4468	929	921	222	328	198	1	248	187	100	504	415	127	1385	1624	932	1347	1371	1494	2416	1849	1233	1550	1031
GCF_015767815.1:167	1228	1250	458	3905	1004	1017	357	447	338	248	1	337	230	417	370	247	1404	1675	947	1397	1417	1508	2419	1874	1337	1576	1043
GCF_015767855.1:168	1155	1173	350	3681	922	942	255	400	279	187	337	1	176	353	307	147	1353	1595	928	1342	1346	1464	2389	1818	1238	1549	1029
GCF_015767875.1:169	1088	1128	315	4244	865	856	225	309	181	100	230	176	1	498	319	110	1340	1577	921	1341	1331	1449	2370	1801	1221	1542	1025
GCF_015767895.1:170	1535	1523	760	4873	1259	1321	619	462	474	504	417	353	498	1	789	344	1744	2047	1001	1568	1809	1847	2664	2211	1380	1626	1108
GCF_015767915.1:171	1199	1202	431	3940	957	992	225	476	145	415	370	307	319	789	1	277	1538	1816	958	1438	1573	1638	2453	1998	1261	1573	1056
GCF_015767935.1:172	1137	1145	374	3844	887	923	242	335	203	127	247	147	110	344	277	1	1361	1600	961	1363	1355	1473	2392	1825	1258	1567	1052
GCF_015912395.1:173	1260	1069	1358	2113	847	857	1368	1753	1336	1385	1404	1353	1340	1744	1538	1361	1	1386	554	841	1371	1381	1535	1417	1242	1351	690
GCF_015912435.1:174	2157	2324	1628	2479	2092	2121	1611	1835	1575	1624	1675	1595	1577	2047	1816	1600	1386	1	613	857	1158	1626	1970	1859	865	1003	737
GCF_015912455.1:175	752	882	962	961	731	480	947	1113	932	932	947	928	921	1001	958	961	554	613	1	632	614	629	1057	728	695	982	391
GCF_015912465.1:176	1110	1263	1409	1392	1233	915	1357	1466	1341	1347	1397	1342	1341	1568	1438	1363	841	857	632	1	844	885	1236	851	914	1037	674
GCF_015912875.1:177	1801	1964	1416	2135	1749	1605	1361	1686	1329	1371	1417	1346	1331	1809	1573	1355	1371	1158	614	844	1	1426	1966	1798	919	1127	640
GCF_015912895.1:178	1987	1780	1438	2200	1614	1630	1485	1741	1447	1494	1508	1464	1449	1847	1638	1473	1381	1626	629	885	1426	1	1650	1547	1272	1129	747
GCF_015912925.1:179	2545	2374	2297	3174	2263	2138	2400	2697	2367	2416	2419	2389	2370	2664	2453	2392	1535	1970	1057	1236	1966	1650	1	1973	1248	1428	1041
GCF_015912945.1:180	1761	1706	1838	2602	1511	1750	1836	2113	1801	1849	1874	1818	1801	2211	1998	1825	1417	1859	728	851	1798	1547	1973	1	1001	1138	985
GCF_015912975.1:181	1068	1238	1259	1265	1077	816	1243	1330	1235	1233	1337	1238	1221	1380	1261	1258	1242	865	695	914	919	1272	1248	1001	1	1197	549
GCF_015912985.1:182	1292	1526	1580	1574	1399	1163	1563	1669	1548	1550	1576	1549	1542	1626	1573	1567	1351	1003	982	1037	1127	1129	1428	1138	1197	1	1065
GCF_015912995.1:183	1011	979	1065	1064	840	579	1045	1216	1030	1031	1043	1029	1025	1108	1056	1052	690	737	391	674	640	747	1041	985	549	1065	1
