	GCF_000717925.1:518	GCF_000718935.1:519	GCF_000718955.1:520	GCF_000720115.1:521	GCF_000720795.1:522	GCF_000725725.1:523	GCF_000725805.1:524	GCF_001270565.1:525	GCF_001279625.1:526	GCF_001746425.1:527	GCF_002028385.1:528	GCF_002080455.1:529	GCF_003148825.1:530	GCF_008642275.1:531	GCF_014648615.1:532	GCF_016755855.1:533	GCF_016755875.1:534	GCF_016755895.1:535	GCF_017639205.1:536	GCF_018614075.1:537
GCF_000717925.1:518	1.0	0.6790786958	0.6629755683	0.5830598064	0.6628975616	0.5046422511	0.5041017928	0.862052079	0.868549212	0.48324139990000003	0.8502013404000001	0.8478912487	0.650845762	0.6154135214	0.6613974162	0.6618619207	0.6354446944000001	0.5030053659	0.6604840313	0.4637909431
GCF_000718935.1:519	0.674677147	1.0	0.7630727485000001	0.568660143	0.7627633109	0.4989676725	0.49882966630000003	0.6680154567000001	0.6658515461	0.4787391079	0.6653935648	0.6627513912	0.7382625581000001	0.6528820189	0.721664532	0.7229071547	0.6804308061000001	0.4974073409	0.7213799083	0.4579693957
GCF_000718955.1:520	0.6692022099	0.7752644903	1.0	0.5630959551	1.0146531051	0.49605394150000004	0.4968483564	0.6625867283	0.6732674134000001	0.47735877120000003	0.6608010502	0.6559941549	0.8008110147	0.6607456795000001	0.7089543837000001	0.7099868584	0.690892351	0.495888635	0.7090576427	0.4623408638
GCF_000720115.1:521	0.6053392471	0.5942410156	0.5791729815000001	1.0	0.5787983556	0.5120864197	0.5121903772	0.6016583469	0.6022349676000001	0.5181718401000001	0.6080815699000001	0.6030492223	0.5725935854	0.5531658489	0.5967627543	0.5974312554	0.5784017069	0.5104928390000001	0.5960658366	0.4947988103
GCF_000720795.1:522	0.6694908588	0.775375602	1.0152102094	0.5630407012	1.0	0.49625040130000003	0.4970237139	0.6628011401	0.6735815605000001	0.47734340280000004	0.6614315452	0.6562415739	0.8009248653000001	0.6613597886	0.7090708972	0.7103534168	0.691045019	0.49597362580000004	0.7094631973000001	0.46261855820000003
GCF_000725725.1:523	0.5164258051	0.513949966	0.5029136101	0.5047564262	0.5028366997	1.0	0.9651025021	0.5169368686	0.5173746395000001	0.48678727720000003	0.5217586511	0.5114714425	0.4975785467	0.48812731610000004	0.5120231203	0.5120329237	0.5022605133	0.9579080501	0.5119101471	0.45044225250000003
GCF_000725805.1:524	0.5126701271	0.5106180354000001	0.5005918626	0.5017246711	0.5004937407	0.9591110301	1.0	0.5135792039	0.5150022025000001	0.48430410160000004	0.5203781425	0.5102504844	0.4943707525	0.4862632908	0.5121816057	0.5121175829	0.5001077484	0.9941644183	0.5115876554000001	0.4489929986
GCF_001270565.1:525	0.8775048406	0.6844262138	0.6681883630000001	0.5899024979	0.6680377954000001	0.5141965976	0.5140480036	1.0	0.8769479611000001	0.48965628450000004	0.8692756305	0.8616363854	0.6573674631	0.6186727507	0.6691560820000001	0.669821737	0.6426926363000001	0.5119834745	0.6669243845	0.47230595150000004
GCF_001279625.1:526	0.9273090008	0.7155361226	0.7121275658	0.619313126	0.7120688773	0.5397726249	0.5406539257	0.9197882345	1.0	0.5127983431	0.9035582002	0.9112036489	0.6926781901	0.6556415183000001	0.7009274479000001	0.7020040522000001	0.6742327277	0.5389379583	0.7001517133	0.4910664494
GCF_001746425.1:527	0.5235121186	0.5220181678	0.5123275029000001	0.5406929228	0.5120298741	0.5153205934	0.5158946006	0.521120216	0.5203303692	1.0	0.5275952792	0.5273098817	0.5135144351	0.49883722150000004	0.524123561	0.5288958763	0.5201473936000001	0.5173487687	0.5270426459	0.49741690580000003
