	GCF_000972435.1:723	GCF_003116795.1:724	GCF_003949835.1:725	GCF_003984925.1:726	GCF_003984935.1:727	GCF_003984975.1:728	GCF_004795715.1:729	GCF_005490965.1:730	GCF_013363575.1:731	GCF_018070055.1:732	GCF_019029485.1:733	GCF_019029505.1:734
GCF_000972435.1:723	1.0	0.9909270871	0.9901691127000001	0.9903475397	0.9900640937	0.990196347	0.9902828317000001	0.9908809761	0.9902446384	0.9889275414	0.9900809397	0.9900644084
GCF_003116795.1:724	0.9909270871	1.0	0.9904498702000001	0.9906926222	0.9908890268	0.9907728505000001	0.9907405715000001	0.9905660481	0.990749654	0.9890094065	0.9908606559	0.9908431174000001
GCF_003949835.1:725	0.9901691127000001	0.9904498702000001	1.0	0.9892295008	0.9894892217000001	0.9895252461	0.9892545913	0.9908945118	0.9906858947	0.9899565819	0.9894031673	0.9893906928
GCF_003984925.1:726	0.9903475397	0.9906926222	0.9892295008	1.0	0.9902721495000001	0.9901594351	0.9895490536	0.9899073806	0.9900690718	0.9888208326000001	0.9905520631	0.9905488442
GCF_003984935.1:727	0.9900640937	0.9908890268	0.9894892217000001	0.9902721495000001	1.0	0.9904099242000001	0.9899184851	0.989750153	0.9899109627	0.9882225347	0.9907833414	0.9907801291
GCF_003984975.1:728	0.990196347	0.9907728505000001	0.9895252461	0.9901594351	0.9904099242000001	1.0	0.9899906524000001	0.9897700956000001	0.9896905664000001	0.9883978353	0.9905754896000001	0.9905525935
GCF_004795715.1:729	0.9902828317000001	0.9907405715000001	0.9892545913	0.9895490536	0.9899184851	0.9899906524000001	1.0	0.9895990779	0.9899990087	0.9880160269	0.9901548753	0.9901507390000001
GCF_005490965.1:730	0.9908809761	0.9905660481	0.9908945118	0.9899073806	0.989750153	0.9897700956000001	0.9895990779	1.0	0.9901262481	0.9896095087000001	0.9898702004000001	0.9898680461
GCF_013363575.1:731	0.9902446384	0.990749654	0.9906858947	0.9900690718	0.9899109627	0.9896905664000001	0.9899990087	0.9901262481	1.0	0.9887811472	0.9899636597	0.9899616325
GCF_018070055.1:732	0.9889275414	0.9890094065	0.9899565819	0.9888208326000001	0.9882225347	0.9883978353	0.9880160269	0.9896095087000001	0.9887811472	1.0	0.9884943215	0.9884914642
GCF_019029485.1:733	0.9900809397	0.9908606559	0.9894031673	0.9905520631	0.9907833414	0.9905754896000001	0.9901548753	0.9898702004000001	0.9899636597	0.9884943215	1.0	0.9999530389000001
GCF_019029505.1:734	0.9900644084	0.9908431174000001	0.9893906928	0.9905488442	0.9907801291	0.9905525935	0.9901507390000001	0.9898680461	0.9899616325	0.9884914642	0.9999530389000001	1.0
