	Streptomyces murinus strain NRRL B-2286 NRRL_B-2286_contig_1, whole genome shotgun sequence:99	Streptomyces griseofuscus strain 199 NODE_100_length_543_cov_0.7506, whole genome shotgun sequence:100	Streptomyces sp. endophyte_N2 chromosome, complete genome:101	Streptomyces sp. S816 DV517_scf1, whole genome shotgun sequence:102	Streptomyces rochei strain 7434AN4 chromosome:103	Streptomyces sp. SID685 SID685.c1, whole genome shotgun sequence:104	Streptomyces sp. SID6137 SID6137.c1, whole genome shotgun sequence:105	Streptomyces sp. SID6139 SID6139.c1, whole genome shotgun sequence:106	Streptomyces murinus strain DSM 41827 Ga0415168_01, whole genome shotgun sequence:107	Streptomyces murinus strain DSM 40710 Ga0104619_01, whole genome shotgun sequence:108	Streptomyces griseofuscus strain DSM 40191 chromosome, complete genome:109	Streptomyces sp. CRPSP2-6A1 KMCNMMJI_1, whole genome shotgun sequence:110	Streptomyces costaricanus strain Am1 chromosome, complete genome:111	Streptomyces sp. LamerLS-31b, whole genome shotgun sequence:112
Streptomyces murinus strain NRRL B-2286 NRRL_B-2286_contig_1, whole genome shotgun sequence:99	1.0	0.8586188109	0.8884171682	0.9498444038	0.8504132092000001	0.8299597992000001	0.9087382014000001	0.9063962761000001	0.8857932664	0.8482186206000001	0.8501417928	0.8612076385	0.8831044962	0.8547050838
Streptomyces griseofuscus strain 199 NODE_100_length_543_cov_0.7506, whole genome shotgun sequence:100	0.8107701613	1.0	0.863495376	0.8561906644	0.9160058476	0.8948883638	0.8103036379	0.8038885258	0.858802127	0.9115820663	0.9189989571	0.9198083099000001	0.8553254001	0.9085971476
Streptomyces sp. endophyte_N2 chromosome, complete genome:101	0.8384416339	0.8630154116000001	1.0	0.8884932433	0.8554885095	0.8357661324000001	0.8384055667	0.8343254594	0.9538474498	0.85741087	0.8559047065000001	0.8712848957	0.9529641582	0.8577474581000001
Streptomyces sp. S816 DV517_scf1, whole genome shotgun sequence:102	0.8801485475	0.8401883170000001	0.8723720537	1.0	0.8359817624	0.8131832404	0.8809790016	0.8755657316000001	0.8692973117	0.8358645739	0.8379836355	0.8462082647	0.8695862058	0.8349065637
Streptomyces rochei strain 7434AN4 chromosome:103	0.808706291	0.9224900960000001	0.8620235123000001	0.8579344735000001	1.0	0.8844614613	0.8099640613	0.8020187447	0.8632030979	0.9568619795000001	0.9745971273	0.9185518079	0.8624840134	0.9058856384
Streptomyces sp. SID685 SID685.c1, whole genome shotgun sequence:104	0.7492848735000001	0.8555815508	0.7995005804	0.7922729334	0.8396687651	1.0	0.7426288964000001	0.742434708	0.800456201	0.8352213839	0.8426234714	0.8495323134	0.7938768325000001	0.8535807627
Streptomyces sp. SID6137 SID6137.c1, whole genome shotgun sequence:105	0.8896715721	0.8401200683000001	0.8697394881	0.9307927185	0.8338652076	0.8053281208	1.0	0.9144280010000001	0.8631208138	0.8289137249	0.8304859015	0.8404383436	0.8623070333	0.8319022636000001
Streptomyces sp. SID6139 SID6139.c1, whole genome shotgun sequence:106	0.8909195267000001	0.8367945383000001	0.8689603658	0.9287645114	0.828980013	0.8083300485	0.9180766736	1.0	0.8620926138	0.8230047882	0.823743227	0.8352510580000001	0.8618594421	0.8268824565
Streptomyces murinus strain DSM 41827 Ga0415168_01, whole genome shotgun sequence:107	0.8227376149000001	0.8447432537	0.9387544496	0.8713523506	0.8431039906000001	0.8235247274	0.8188599678	0.8146340108	1.0	0.8414137012	0.8435308833	0.8527707271	0.9326754329	0.8468686093000001
Streptomyces murinus strain DSM 40710 Ga0104619_01, whole genome shotgun sequence:108	0.7913578265000001	0.9006654728	0.8476141372	0.8415840783	0.9387578334000001	0.8631311620000001	0.789920713	0.7811727704	0.8451731673	1.0	0.9638490854	0.898727428	0.8454279139	0.8874593470000001
Streptomyces griseofuscus strain DSM 40191 chromosome, complete genome:109	0.7417738622000001	0.8491762125000001	0.7913155151	0.7890639260000001	0.8942201716	0.8143738197	0.7401529857	0.7312260439	0.792414052	0.9014135860000001	1.0	0.8488431963	0.7924252403000001	0.8330774651
Streptomyces sp. CRPSP2-6A1 KMCNMMJI_1, whole genome shotgun sequence:110	0.7934229774	0.8974223288000001	0.8505526311	0.8413382904000001	0.8898969789000001	0.8669357146000001	0.7908822525	0.7828770638	0.845863345	0.8874824968	0.8962810468	1.0	0.8436895352	0.9251636814
Streptomyces costaricanus strain Am1 chromosome, complete genome:111	0.8226368221	0.8437816187	0.940625445	0.8741886889	0.8448629765000001	0.8191421415	0.8204782051	0.8167932271	0.9354005216	0.8441264961	0.8460074545	0.8530643859	1.0	0.8448037208
Streptomyces sp. LamerLS-31b, whole genome shotgun sequence:112	0.7982929504	0.8987109183	0.8488863563	0.8415508714000001	0.8897306616	0.8830813593	0.7936470102000001	0.7857229158	0.8515949226	0.8884426014000001	0.8917666655	0.9379240721000001	0.8470436202	1.0
