	GCF_001514115.1:821	GCF_001974775.1:822	GCF_002335465.1:823	GCF_007113405.2:824	GCF_007113425.2:825	GCF_007113445.1:826	GCF_007113465.1:827	GCF_007113485.2:828	GCF_007113505.2:829	GCF_007113525.2:830	GCF_007113545.2:831	GCF_007113565.2:832	GCF_007113585.2:833	GCF_007113665.2:834	GCF_012273535.1:835	GCF_012922115.1:836	GCF_018310535.1:837	GCF_900215305.1:838
GCF_001514115.1:821	1	359859	498	362017	368971	358572	365790	364204	365927	367758	367606	364663	363266	363288	416274	337080	327390	365603
GCF_001974775.1:822	359859	1	360488	167989	174445	166100	172748	176862	172813	173739	175602	172483	169626	169624	427378	156743	341340	176622
GCF_002335465.1:823	498	360488	1	362425	369429	359077	366064	364557	366261	368025	367544	364602	363923	363922	416903	337462	327561	365577
GCF_007113405.2:824	362017	167989	362425	1	77615	1757	80526	92560	80488	79927	93009	81363	1636	1734	426043	3769	328935	102285
GCF_007113425.2:825	368971	174445	369429	77615	1	77839	47150	95889	47549	47630	94613	86033	78929	79191	430635	74272	330592	103881
GCF_007113445.1:826	358572	166100	359077	1757	77839	1	81007	92508	80668	80368	93089	81459	2576	2932	420244	4821	329248	101993
GCF_007113465.1:827	365790	172748	366064	80526	47150	81007	1	90806	1027	1598	93145	86962	82411	81778	429519	73787	328956	102116
GCF_007113485.2:828	364204	176862	364557	92560	95889	92508	90806	1	91146	90752	10714	87802	93768	93752	431273	86071	328077	106118
GCF_007113505.2:829	365927	172813	366261	80488	47549	80668	1027	91146	1	1714	93478	87090	82458	81678	429701	73671	329019	102169
GCF_007113525.2:830	367758	173739	368025	79927	47630	80368	1598	90752	1714	1	92299	87262	81928	81641	430725	73283	328332	103348
GCF_007113545.2:831	367606	175602	367544	93009	94613	93089	93145	10714	93478	92299	1	88277	94967	94519	432030	86878	328558	105191
GCF_007113565.2:832	364663	172483	364602	81363	86033	81459	86962	87802	87090	87262	88277	1	81998	81766	420544	76386	319995	101880
GCF_007113585.2:833	363266	169626	363923	1636	78929	2576	82411	93768	82458	81928	94967	81998	1	2235	427279	4145	329805	99590
GCF_007113665.2:834	363288	169624	363922	1734	79191	2932	81778	93752	81678	81641	94519	81766	2235	1	427207	4059	329546	99233
GCF_012273535.1:835	416274	427378	416903	426043	430635	420244	429519	431273	429701	430725	432030	420544	427279	427207	1	400028	22714	429327
GCF_012922115.1:836	337080	156743	337462	3769	74272	4821	73787	86071	73671	73283	86878	76386	4145	4059	400028	1	325190	91343
GCF_018310535.1:837	327390	341340	327561	328935	330592	329248	328956	328077	329019	328332	328558	319995	329805	329546	22714	325190	1	330868
GCF_900215305.1:838	365603	176622	365577	102285	103881	101993	102116	106118	102169	103348	105191	101880	99590	99233	429327	91343	330868	1
