	GCF_000091305.1:662	GCF_000738695.1:663	GCF_000988945.1:664	GCF_001550215.1:665	GCF_001550225.1:666	GCF_001550235.1:667	GCF_001550325.1:668	GCF_001579685.1:669	GCF_002155735.1:670	GCF_003584815.1:671	GCF_017933115.1:672	GCF_017933235.1:673	GCF_017933255.1:674	GCF_017968905.1:675	GCF_017968935.1:676	GCF_017968965.1:677	GCF_017969005.1:678	GCF_017969025.1:679	GCF_017969045.1:680	GCF_017969075.1:681
GCF_000091305.1:662	1	628345	581964	2970	38193	64375	603815	36256	564872	37835	40395	38900	42917	43456	42429	39595	47834	54972	42689	42281
GCF_000738695.1:663	628345	1	265047	604590	590124	580718	277994	530338	282725	586497	615933	624530	617474	618423	618933	623902	619138	620190	616001	625978
GCF_000988945.1:664	581964	265047	1	558601	547795	536902	9830	492326	275898	543856	579510	582420	579232	578368	577966	579208	580519	580898	576763	580344
GCF_001550215.1:665	2970	604590	558601	1	37659	57610	584787	35120	539636	36051	39939	37530	40641	43492	40769	37749	43576	50107	40777	42996
GCF_001550225.1:666	38193	590124	547795	37659	1	51653	577402	32472	528498	9051	39795	35538	36953	42595	40338	38777	40801	45179	40941	39252
GCF_001550235.1:667	64375	580718	536902	57610	51653	1	560512	12219	515096	48351	55942	54371	54047	60414	60717	51544	57842	64228	57614	23997
GCF_001550325.1:668	603815	277994	9830	584787	577402	560512	1	514679	286286	569224	598394	601956	602841	598015	595770	602395	598049	598795	595823	604316
GCF_001579685.1:669	36256	530338	492326	35120	32472	12219	514679	1	479363	31074	35072	33277	33882	38898	40170	29815	36501	42537	37749	4685
GCF_002155735.1:670	564872	282725	275898	539636	528498	515096	286286	479363	1	525096	555425	558669	555305	552573	552052	558083	554936	555254	552008	561417
GCF_003584815.1:671	37835	586497	543856	36051	9051	48351	569224	31074	525096	1	41365	36564	37376	43445	39276	39537	42332	46091	44100	37544
GCF_017933115.1:672	40395	615933	579510	39939	39795	55942	598394	35072	555425	41365	1	39446	3428	4969	6875	41409	38213	42084	4444	43777
GCF_017933235.1:673	38900	624530	582420	37530	35538	54371	601956	33277	558669	36564	39446	1	41917	42634	43084	1695	43926	50431	41484	38479
GCF_017933255.1:674	42917	617474	579232	40641	36953	54047	602841	33882	555305	37376	3428	41917	1	7350	11233	38974	43048	44958	7275	39811
GCF_017968905.1:675	43456	618423	578368	43492	42595	60414	598015	38898	552573	43445	4969	42634	7350	1	6496	41887	40958	46308	3390	46025
GCF_017968935.1:676	42429	618933	577966	40769	40338	60717	595770	40170	552052	39276	6875	43084	11233	6496	1	40523	40710	46098	6881	46280
GCF_017968965.1:677	39595	623902	579208	37749	38777	51544	602395	29815	558083	39537	41409	1695	38974	41887	40523	1	44221	48479	40361	35972
GCF_017969005.1:678	47834	619138	580519	43576	40801	57842	598049	36501	554936	42332	38213	43926	43048	40958	40710	44221	1	5752	39152	46413
GCF_017969025.1:679	54972	620190	580898	50107	45179	64228	598795	42537	555254	46091	42084	50431	44958	46308	46098	48479	5752	1	44353	51778
GCF_017969045.1:680	42689	616001	576763	40777	40941	57614	595823	37749	552008	44100	4444	41484	7275	3390	6881	40361	39152	44353	1	43606
GCF_017969075.1:681	42281	625978	580344	42996	39252	23997	604316	4685	561417	37544	43777	38479	39811	46025	46280	35972	46413	51778	43606	1
