	GCF_000495755.1:497	GCF_000797385.1:498	GCF_000800535.1:499	GCF_010523235.1:500	GCF_013363465.1:501	GCF_013363485.1:502	GCF_013363585.1:503	GCF_015601545.1:504	GCF_018638335.1:505
GCF_000495755.1:497	1	43697	240782	48203	232890	235264	236061	235379	46433
GCF_000797385.1:498	43697	1	240297	32731	233217	234838	235351	233446	30088
GCF_000800535.1:499	240782	240297	1	243916	36179	44455	44377	37244	242309
GCF_010523235.1:500	48203	32731	243916	1	235094	236647	237101	236957	34293
GCF_013363465.1:501	232890	233217	36179	235094	1	292	334	30052	232059
GCF_013363485.1:502	235264	234838	44455	236647	292	1	285	29790	232906
GCF_013363585.1:503	236061	235351	44377	237101	334	285	1	30178	233736
GCF_015601545.1:504	235379	233446	37244	236957	30052	29790	30178	1	233767
GCF_018638335.1:505	46433	30088	242309	34293	232059	232906	233736	233767	1
