	Streptomyces erythrochromogenes strain NRRL B-2112 Doro1_scaffold1, whole genome shotgun sequence:577	Streptomyces amritsarensis strain MTCC 11845 MTCC_11845contig_1, whole genome shotgun sequence:578	Streptomyces sp. fd1-xmd chromosome, complete genome:579
Streptomyces erythrochromogenes strain NRRL B-2112 Doro1_scaffold1, whole genome shotgun sequence:577	1.0	0.7874445689	0.7887195565
Streptomyces amritsarensis strain MTCC 11845 MTCC_11845contig_1, whole genome shotgun sequence:578	0.7562896646	1.0	0.9547272078000001
Streptomyces sp. fd1-xmd chromosome, complete genome:579	0.7467000942	0.9410977227	1.0
