	Streptomyces sp. Akac8 NODE_10_length_234159_cov_174.386302, whole genome shotgun sequence:551	Streptomyces sp. GESEQ-13 1, whole genome shotgun sequence:552	Streptomyces sp. McG7 NODE_100_length_23964_cov_57.7839, whole genome shotgun sequence:553	Streptomyces sp. McG8 NODE_100_length_20505_cov_58.0202, whole genome shotgun sequence:554
Streptomyces sp. Akac8 NODE_10_length_234159_cov_174.386302, whole genome shotgun sequence:551	1.0	0.9867513781	0.9953284659	0.9944157874
Streptomyces sp. GESEQ-13 1, whole genome shotgun sequence:552	0.9867513781	1.0	0.9872374149	0.9874847417
Streptomyces sp. McG7 NODE_100_length_23964_cov_57.7839, whole genome shotgun sequence:553	0.9953284659	0.9872374149	1.0	0.9950215033
Streptomyces sp. McG8 NODE_100_length_20505_cov_58.0202, whole genome shotgun sequence:554	0.9944157874	0.9874847417	0.9950215033	1.0
