	Streptomyces hygroscopicus subsp. hygroscopicus strain NRRL B-1477 contig1.1, whole genome shotgun sequence:442	Streptomyces hygroscopicus subsp. hygroscopicus strain NBRC 16556, whole genome shotgun sequence:443	Streptomyces hygroscopicus subsp. hygroscopicus strain NBRC 13472, whole genome shotgun sequence:444	Streptomyces hygroscopicus subsp. hygroscopicus strain NBRC 12859, whole genome shotgun sequence:445	Streptomyces hygroscopicus subsp. hygroscopicus strain NBRC 100766, whole genome shotgun sequence:446	Streptomyces sp. NBRC 109436, whole genome shotgun sequence:447
Streptomyces hygroscopicus subsp. hygroscopicus strain NRRL B-1477 contig1.1, whole genome shotgun sequence:442	1.0	0.9757731526000001	0.9771777633000001	0.9769021557	0.9757941716	0.9757194107
Streptomyces hygroscopicus subsp. hygroscopicus strain NBRC 16556, whole genome shotgun sequence:443	0.9757731526000001	1.0	0.9763474005	0.9763368224000001	0.9910989661	0.9877004884
Streptomyces hygroscopicus subsp. hygroscopicus strain NBRC 13472, whole genome shotgun sequence:444	0.9771777633000001	0.9763474005	1.0	0.9895812406000001	0.9760828431	0.9762603143
Streptomyces hygroscopicus subsp. hygroscopicus strain NBRC 12859, whole genome shotgun sequence:445	0.9769021557	0.9763368224000001	0.9895812406000001	1.0	0.9762454789	0.9764712721000001
Streptomyces hygroscopicus subsp. hygroscopicus strain NBRC 100766, whole genome shotgun sequence:446	0.9757941716	0.9910989661	0.9760828431	0.9762454789	1.0	0.9870344301
Streptomyces sp. NBRC 109436, whole genome shotgun sequence:447	0.9757194107	0.9877004884	0.9762603143	0.9764712721000001	0.9870344301	1.0
