	Streptomyces sp. MBT97 scaffold1000_size496_cov13.0625, whole genome shotgun sequence:29	Streptomyces sp. MBT49 scaffold100_size20404_cov60.1623, whole genome shotgun sequence:30	Streptomyces cacaoi subsp. asoensis strain NBRC 13813 sequence1, whole genome shotgun sequence:31
Streptomyces sp. MBT97 scaffold1000_size496_cov13.0625, whole genome shotgun sequence:29	1.0	0.9053514225	0.9031659427000001
Streptomyces sp. MBT49 scaffold100_size20404_cov60.1623, whole genome shotgun sequence:30	0.8454819567	1.0	0.8642959426
Streptomyces cacaoi subsp. asoensis strain NBRC 13813 sequence1, whole genome shotgun sequence:31	0.8834325827	0.9052763591	1.0
