	Streptomyces xanthophaeus strain NBRC 12829 sequence01, whole genome shotgun sequence:354	Streptomyces sp. NRRL S-241 contig1.1, whole genome shotgun sequence:521	Streptomyces sp. NRRL S-237 contig1.1, whole genome shotgun sequence:522	Streptomyces xanthophaeus strain NRRL B-5414 Doro1_scaffold1, whole genome shotgun sequence:523	Streptomyces virginiae strain NRRL B-1447 P046contig1.1, whole genome shotgun sequence:524	Streptomyces sp. WM6368 P399contig1.1, whole genome shotgun sequence:525	Streptomyces sp. 3211 isolate 3 chromosome, complete genome:526	Streptomyces sp. Sge12 chromosome, complete genome:527	Streptomyces venezuelae strain ATCC 21018 chromosome, complete genome:528	Streptomyces nojiriensis strain JCM 3382 sequence001, whole genome shotgun sequence:529	Streptomyces nojiriensis strain NBRC 13794 sequence1, whole genome shotgun sequence:530	Streptomyces spororaveus strain NBRC 15456 sequence01, whole genome shotgun sequence:531	Streptomyces nojiriensis strain JCM 3382 chromosome, complete genome:532
Streptomyces xanthophaeus strain NBRC 12829 sequence01, whole genome shotgun sequence:354	1.0	0.5738557379	0.5721808725	0.9925645639	0.5733617369	0.5756045589000001	0.5833358178	0.5730389897	0.5478938227	0.5714870757	0.5746472949	0.5630595933	0.5745234191
Streptomyces sp. NRRL S-241 contig1.1, whole genome shotgun sequence:521	0.5663522413000001	1.0	0.7384019562	0.5685904848000001	0.8757658537	0.8820577060000001	0.8655231469	0.8629536033	0.6708730575	0.7171193695	0.717548406	0.6909696922	0.7160503134
Streptomyces sp. NRRL S-237 contig1.1, whole genome shotgun sequence:522	0.5610390941	0.7336158949	1.0	0.5634164725	0.7261548335	0.7237348522	0.7237298667000001	0.7206480673	0.7024746399	0.7719393661	0.7732405678000001	0.7301189437000001	0.7716685657
Streptomyces xanthophaeus strain NRRL B-5414 Doro1_scaffold1, whole genome shotgun sequence:523	0.9962364592	0.5782549484	0.5767311603	1.0	0.5793585291000001	0.5808942634	0.5869306121	0.575624796	0.5491470939	0.5773676764	0.5772588841	0.5643277947	0.5766749084
Streptomyces virginiae strain NRRL B-1447 P046contig1.1, whole genome shotgun sequence:524	0.5760081383	0.8914644423	0.7439938677	0.5798873726	1.0	0.8911491442	0.8846901773	0.8776166345	0.6741395561	0.7254579165	0.7261117304	0.6986697695	0.7229209046
Streptomyces sp. WM6368 P399contig1.1, whole genome shotgun sequence:525	0.6065102778	0.9417313822000001	0.7777385710000001	0.6098280015	0.9346831676	1.0	0.9200304157	0.9246952949	0.7145805481	0.7596576588	0.7607880811000001	0.7331081986	0.7587908475
Streptomyces sp. 3211 isolate 3 chromosome, complete genome:526	0.5614420041	0.8440750228	0.7104000182	0.5628197816	0.8475738526000001	0.8403776676	1.0	0.8416662477	0.6561208334	0.6960142102	0.7007723695	0.681724384	0.6987506356000001
Streptomyces sp. Sge12 chromosome, complete genome:527	0.6114124826	0.9329399270000001	0.7841760352	0.6119077544	0.9320840204	0.9363427167	0.9330475626	1.0	0.7208751947	0.7702122555	0.7750371176	0.7488888133	0.7723494328
Streptomyces venezuelae strain ATCC 21018 chromosome, complete genome:528	0.6120857956	0.7594030776	0.8003625488	0.6112247357	0.7496625149	0.7576229944	0.7615763825	0.7547895005	1.0	0.8162012748	0.8213176747	0.8125064628	0.8203641832
Streptomyces nojiriensis strain JCM 3382 sequence001, whole genome shotgun sequence:529	0.5498538353	0.6991146507	0.7574679216	0.5534643429	0.6947893572	0.6936570849	0.6957812073	0.6945462033	0.7029464095	1.0	0.9988394876000001	0.7300899247	0.9963285649
Streptomyces nojiriensis strain NBRC 13794 sequence1, whole genome shotgun sequence:530	0.5496532683	0.6954321381	0.7542968431	0.5501161667000001	0.6913388908	0.6906169106000001	0.6964311057	0.6948000186000001	0.7032062463000001	0.9929841257	1.0	0.7331845603	1.0033213077
Streptomyces spororaveus strain NBRC 15456 sequence01, whole genome shotgun sequence:531	0.5500993315	0.6840090664	0.7274792037000001	0.5493062374000001	0.6794520211	0.6797369705	0.6920051485000001	0.6857312943	0.7105549706000001	0.7413482464000001	0.7488806648	1.0	0.7463432152
Streptomyces nojiriensis strain JCM 3382 chromosome, complete genome:532	0.5510223081	0.6958587446000001	0.7548009978	0.5510472446	0.6901640224000001	0.6906684048	0.6963016169	0.6942648031	0.7042911626	0.9931690598	1.0060371835	0.7326782162000001	1.0
