	GCF_002217715.1:48	GCF_002551375.1:49	GCF_002803175.1:50	GCF_002832675.1:51	GCF_003024215.1:52	GCF_003116775.1:53	GCF_009864905.1:54	GCF_009872565.1:55	GCF_013363455.1:56	GCF_013363655.1:57	GCF_013363665.1:58	GCF_014648875.1:59	GCF_016612575.1:60	GCF_016612605.1:61	GCF_016612645.1:62	GCF_016654065.1:63	GCF_900187925.1:64
GCF_002217715.1:48	7603850	6851209	5808899	5925711	6231645	6415541	6447701	6752037	6413602	6413606	6408355	6312076	7123321	7014953	7123685	7102234	6447701
GCF_002551375.1:49	6851209	7877341	5881688	5961879	6250215	6490767	6596483	7112672	6425015	6470041	6424379	6356440	6792620	6687689	6793934	6773421	6596483
GCF_002803175.1:50	5808899	5881688	7380634	5766695	6268229	6349098	6321856	5829460	6303480	6293369	6301038	6308772	5713633	5601609	5708470	5682431	6321856
GCF_002832675.1:51	5925711	5961879	5766695	7614683	6329332	6190315	6193053	5879876	6288729	6341927	6287607	6129156	5813476	5708971	5806668	5789737	6193053
GCF_003024215.1:52	6231645	6250215	6268229	6329332	7775341	6671282	6678303	6220487	7068883	7068557	7068062	6645922	6113448	6005788	6111230	6080026	6678303
GCF_003116775.1:53	6415541	6490767	6349098	6190315	6671282	7877244	7573009	6383266	6722652	6732226	6722073	6841696	6323800	6218030	6316013	6292385	7573009
GCF_009864905.1:54	6447701	6596483	6321856	6193053	6678303	7573009	8317680	6427403	6745424	6770862	6743204	6868734	6413920	6322055	6416131	6383674	8317220
GCF_009872565.1:55	6752037	7112672	5829460	5879876	6220487	6383266	6427403	7422738	6402293	6385558	6401737	6277628	6668242	6561443	6667637	6643310	6423603
GCF_013363455.1:56	6413602	6425015	6303480	6288729	7068883	6722652	6745424	6402293	8164319	7917451	8186345	6707764	6312920	6200898	6308633	6284508	6749970
GCF_013363655.1:57	6413606	6470041	6293369	6341927	7068557	6732226	6770862	6385558	7917451	8200570	7904770	6697343	6330278	6219344	6325704	6301201	6770938
GCF_013363665.1:58	6408355	6424379	6301038	6287607	7068062	6722073	6743204	6401737	8186345	7904770	8163649	6706026	6309783	6199577	6305713	6281001	6750476
GCF_014648875.1:59	6312076	6356440	6308772	6129156	6645922	6841696	6868734	6277628	6707764	6697343	6706026	8032801	6221709	6097744	6205205	6179382	6880281
GCF_016612575.1:60	7123321	6792620	5713633	5813476	6113448	6323800	6413920	6668242	6312920	6330278	6309783	6221709	7710712	7397320	7519741	7534514	6417655
GCF_016612605.1:61	7014953	6687689	5601609	5708971	6005788	6218030	6322055	6561443	6200898	6219344	6199577	6097744	7397320	7474536	7409036	7429970	6320706
GCF_016612645.1:62	7123685	6793934	5708470	5806668	6111230	6316013	6416131	6667637	6308633	6325704	6305713	6205205	7519741	7409036	7585461	7517744	6415202
GCF_016654065.1:63	7102234	6773421	5682431	5789737	6080026	6292385	6383674	6643310	6284508	6301201	6281001	6179382	7534514	7429970	7517744	7559527	6384923
GCF_900187925.1:64	6447701	6596483	6321856	6193053	6678303	7573009	8317220	6423603	6749970	6770938	6750476	6880281	6417655	6320706	6415202	6384923	8317680
