	Streptomyces viridochromogenes strain NRRL 3414 P001contig1.1, whole genome shotgun sequence:506	Streptomyces viridochromogenes strain NRRL 3416 P006contig1.1, whole genome shotgun sequence:507	Streptomyces viridochromogenes strain NRRL 3413 P009contig1.1, whole genome shotgun sequence:508
Streptomyces viridochromogenes strain NRRL 3414 P001contig1.1, whole genome shotgun sequence:506	1.0	0.9968073807000001	0.9973891725
Streptomyces viridochromogenes strain NRRL 3416 P006contig1.1, whole genome shotgun sequence:507	0.9968073807000001	1.0	0.9997597984000001
Streptomyces viridochromogenes strain NRRL 3413 P009contig1.1, whole genome shotgun sequence:508	0.9973891725	0.9997597984000001	1.0
