	GCF_000715745.1:381	GCF_000717965.1:382	GCF_000718915.1:383	GCF_001270675.1:384	GCF_002082175.1:385	GCF_013401535.1:386	GCF_014748265.1:387	GCF_016521585.1:388	GCF_016624005.1:389	GCF_016906185.1:390	GCF_016906205.1:391	GCF_016906225.1:392	GCF_016906245.1:393	GCF_016906265.1:394	GCF_017311125.1:395
GCF_000715745.1:381	1.0	0.9464132918	0.9080616818	0.9079856508	0.9087543109	0.8227955119	0.9084005802	0.8458677763	0.8446426815	0.9457590521	0.9530302243000001	0.9461304818	0.9528501183	0.8875332121	0.8820890252
GCF_000717965.1:382	0.9627242992	1.0	0.9367499324	0.9366733518	0.9425336644000001	0.8488441031	0.9367225459	0.8739290453	0.8704259932	1.0156901339	1.0329003406	1.0113634606	1.0319804867	0.9209564655	0.9119521671
GCF_000718915.1:383	0.9071293448000001	0.9199335002000001	1.0	1.0140579998	0.9495905955	0.8453337374000001	0.9492835468	0.8614643783	0.8599823017	0.9193083211	0.9204830999	0.919530452	0.9203128909	0.9135874533	0.9056935871
GCF_001270675.1:384	0.9072898366000001	0.9200980769	1.0143223377	1.0	0.9484190591	0.8456650633	0.9494571443	0.8616961627	0.8587267533	0.9207074772	0.9218866722	0.9209798578	0.9217195324	0.9123748973	0.9061000552
GCF_002082175.1:385	0.9210387258	0.9390899117	0.9634162009	0.9619768458	1.0	0.8604267661	0.9585392706	0.8760159903	0.8746717584	0.9434585074	0.9385688181	0.9437692686	0.9385636388	0.9243655133	0.9219495341
GCF_013401535.1:386	0.8385629626000001	0.8504535456000001	0.8624185678	0.862531751	0.8652194381	1.0	0.8634364541	0.8863352742	0.8850156932000001	0.8543750689	0.8566102775000001	0.8548142094000001	0.8562921960000001	0.8641575997000001	0.8551897082000001
GCF_014748265.1:387	0.9102780801	0.9227553096000001	0.9522232235	0.9521491587	0.9477093938000001	0.8489523206	1.0	0.8635112324	0.8622517565000001	0.9288623438	0.9318079487	0.9294528636	0.9316242231	0.9136741937	0.9109555293
GCF_016521585.1:388	0.8610905066000001	0.8745837255000001	0.8778691314	0.8778764907000001	0.8798870936000001	0.8853206446	0.8772383913	1.0	1.0100398187	0.8782633598	0.8794238403	0.8786800467	0.8794173692	0.8703216939	0.866888722
GCF_016624005.1:389	0.8603100213	0.8715508034	0.8768344521	0.8753261259	0.8790137240000001	0.8844823430000001	0.8764342969000001	1.0105879908	1.0	0.8802982324	0.8814555342	0.8807132412	0.8814493135	0.8745608544000001	0.867162045
GCF_016906185.1:390	0.9447413099	0.9974072724	0.9192628805	0.9204220379	0.9298733418	0.8374081888	0.925949015	0.8618086392000001	0.8633368345	1.0	1.0534899478	1.0267713071	1.0527795126	0.9106782677	0.9025078887
GCF_016906205.1:391	0.9460073189	1.0079178592	0.9146391254	0.9157950633	0.9192265027000001	0.8343097914000001	0.9230336869	0.8575110725	0.8590259290000001	1.0468532829	1.0	1.036498217	1.0005120868	0.9066464141	0.8984269198
GCF_016906225.1:392	0.9425858513	0.9905035548000001	0.9170270192000001	0.9182331201	0.9276930581	0.8355988856000001	0.9240608482	0.8599126263	0.8614348738000001	1.0240265265	1.0402808863	1.0	1.0477791255	0.9095569675	0.9006505966
GCF_016906245.1:393	0.945660763	1.0068416219	0.9143077824	0.9154666078	0.9190583727	0.8338520504	0.92268799	0.8573526530000001	0.8588674882	1.0459617508	1.0003346096	1.0437840052	1.0	0.9064032029	0.8992972333
GCF_016906265.1:394	0.8661064227	0.8834961151	0.8924479693	0.8910312026	0.8900183749	0.8274387137	0.8897773008000001	0.8342959473	0.8379048832	0.8896500739000001	0.8913264028000001	0.8909363298	0.8912453961000001	1.0	0.8993834121000001
GCF_017311125.1:395	0.8892024873000001	0.9037310573	0.9139357723	0.9141076560000001	0.9169887182	0.8458764875	0.9164077312000001	0.8584307823	0.8582356541	0.9107661012	0.9123956039000001	0.91132799	0.9134414810000001	0.9290658096000001	1.0
