	Streptomyces thermoautotrophicus strain UBT1 contig00001, whole genome shotgun sequence:450	Streptomyces thermoautotrophicus strain H1 map unlocalized plasmid unnamed H1_plasmid_48403bp, whole genome shotgun sequence:451	Streptomyces thermoautotrophicus strain UBT1 contig_1, whole genome shotgun sequence:731
Streptomyces thermoautotrophicus strain UBT1 contig00001, whole genome shotgun sequence:450	1.0	0.8581652310000001	0.9980027652000001
Streptomyces thermoautotrophicus strain H1 map unlocalized plasmid unnamed H1_plasmid_48403bp, whole genome shotgun sequence:451	0.80881448	1.0	0.87471869
Streptomyces thermoautotrophicus strain UBT1 contig_1, whole genome shotgun sequence:731	0.9187673690000001	0.8544058653000001	1.0
