	Streptomyces fulvissimus DSM 40593, complete sequence:366	Streptomyces sp. MNU77 contig1_MNU77, whole genome shotgun sequence:367	Streptomyces luridiscabiei strain NRRL B-24455 B24455_contig_1, whole genome shotgun sequence:368	Streptomyces sp. 2R contig1, whole genome shotgun sequence:369	Streptomyces griseus subsp. griseus strain ATCC 13273 chromosome, complete genome:370	Streptomyces fulvorobeus strain NBRC 15897 sequence1, whole genome shotgun sequence:371	Streptomyces fulvissimus strain NA06532 chromosome, complete genome:372	Streptomyces fulvorobeus strain DSM 41455 Ga0265265_01, whole genome shotgun sequence:373	Streptomyces sp. MBT58 scaffold100_size33420_cov117.2158, whole genome shotgun sequence:374	Streptomyces sp. CA-256286 chromosome, complete genome:375
Streptomyces fulvissimus DSM 40593, complete sequence:366	1.0	0.6740241733	0.8599399324	0.887239149	0.7475371748	0.406936691	0.8937686937	0.40713110620000004	0.8580048871	0.8897922249
Streptomyces sp. MNU77 contig1_MNU77, whole genome shotgun sequence:367	0.6008639713	1.0	0.582662502	0.6062738841	0.5683982928	0.34977002490000003	0.6085230060000001	0.3498117463	0.5825530116000001	0.6068966606
Streptomyces luridiscabiei strain NRRL B-24455 B24455_contig_1, whole genome shotgun sequence:368	0.8582005738	0.6522845052	1.0	0.9141608434	0.7325329998	0.3928146966	0.9346109164	0.39289346680000004	0.9135114944	0.9147955491
Streptomyces sp. 2R contig1, whole genome shotgun sequence:369	0.8265646644	0.6335841557	0.8533713721	1.0	0.7068995892000001	0.3801186295	0.8904016399	0.3802752388	0.8549986242000001	0.8941588495
Streptomyces griseus subsp. griseus strain ATCC 13273 chromosome, complete genome:370	0.8164810172	0.6964105963	0.8017146266	0.8287716522	1.0	0.4228337898	0.8289088411000001	0.4227687183	0.8017756916000001	0.8301986656
Streptomyces fulvorobeus strain NBRC 15897 sequence1, whole genome shotgun sequence:371	0.48499821130000004	0.4676222682	0.46911609270000004	0.4862910804	0.461391592	1.0	0.48985777690000004	0.99984412	0.47300585580000004	0.48907762320000003
Streptomyces fulvissimus strain NA06532 chromosome, complete genome:372	0.8359478990000001	0.6384551326	0.8759195858000001	0.8939307665	0.7098188802000001	0.38442426420000003	1.0	0.3842489331	0.8759987332	0.8953279725000001
Streptomyces fulvorobeus strain DSM 41455 Ga0265265_01, whole genome shotgun sequence:373	0.48429153550000004	0.46677360560000003	0.4683027588	0.48555060800000005	0.46042843980000003	0.9979105234000001	0.488687456	1.0	0.4724457514	0.48831159999999996
Streptomyces sp. MBT58 scaffold100_size33420_cov117.2158, whole genome shotgun sequence:374	0.8384213276	0.6385682421000001	0.8944702239000001	0.8968128717	0.7173186849000001	0.387816056	0.9152125391	0.3881073883	1.0	0.8907831462
Streptomyces sp. CA-256286 chromosome, complete genome:375	0.8585780583	0.6569090354	0.8844932802000001	0.9261252381	0.7334320984	0.39596398320000004	0.9236751507000001	0.3961098363	0.879610925	1.0
