	GCF_000715745.1:381	GCF_000717965.1:382	GCF_000718915.1:383	GCF_001270675.1:384	GCF_002082175.1:385	GCF_013401535.1:386	GCF_014748265.1:387	GCF_016521585.1:388	GCF_016624005.1:389	GCF_016906185.1:390	GCF_016906205.1:391	GCF_016906225.1:392	GCF_016906245.1:393	GCF_016906265.1:394	GCF_017311125.1:395
GCF_000715745.1:381	1	26956	116059	116215	115124	162058	115098	171094	170590	26903	25228	27016	25172	117103	144098
GCF_000717965.1:382	26956	1	98636	98446	99677	147897	96490	157461	156406	967	3956	612	3773	100528	126765
GCF_000718915.1:383	116059	98636	1	1337	80220	149387	85343	157107	156834	98472	98376	98629	98419	98969	130563
GCF_001270675.1:384	116215	98446	1337	1	80089	149481	85106	157631	156881	98424	98355	98671	98399	98615	130287
GCF_002082175.1:385	115124	99677	80220	80089	1	150267	79075	158153	158704	101197	97711	101588	97704	99576	131620
GCF_013401535.1:386	162058	147897	149387	149481	150267	1	148433	94961	95218	149262	149806	149660	149528	149409	153326
GCF_014748265.1:387	115098	96490	85343	85106	79075	148433	1	156381	157032	98318	99185	98646	99093	98790	129400
GCF_016521585.1:388	171094	157461	157107	157631	158153	94961	156381	1	2622	158354	158651	158268	158702	153722	159776
GCF_016624005.1:389	170590	156406	156834	156881	158704	95218	157032	2622	1	159157	159589	159301	159636	155096	158973
GCF_016906185.1:390	26903	967	98472	98424	101197	149262	98318	158354	159157	1	4529	681	4473	102679	130033
GCF_016906205.1:391	25228	3956	98376	98355	97711	149806	99185	158651	159589	4529	1	4614	91	103409	130304
GCF_016906225.1:392	27016	612	98629	98671	101588	149660	98646	158268	159301	681	4614	1	4532	103155	130311
GCF_016906245.1:393	25172	3773	98419	98399	97704	149528	99093	158702	159636	4473	91	4532	1	103246	130831
GCF_016906265.1:394	117103	100528	98969	98615	99576	149409	98790	153722	155096	102679	103409	103155	103246	1	135059
GCF_017311125.1:395	144098	126765	130563	130287	131620	153326	129400	159776	158973	130033	130304	130311	130831	135059	1
