	GCF_000715745.1:381	GCF_000717965.1:382	GCF_000718915.1:383	GCF_001270675.1:384	GCF_002082175.1:385	GCF_013401535.1:386	GCF_014748265.1:387	GCF_016521585.1:388	GCF_016624005.1:389	GCF_016906185.1:390	GCF_016906205.1:391	GCF_016906225.1:392	GCF_016906245.1:393	GCF_016906265.1:394	GCF_017311125.1:395
GCF_000715745.1:381	1.0	0.9497731101	0.9225273721	0.9224707851	0.923103462	0.8429945558	0.9227464906	0.8671930748000001	0.865905161	0.9491122644000001	0.9561746632	0.9494977785000001	0.9559875773000001	0.9021290274	0.9000495198
GCF_000717965.1:382	0.9661420224	1.0	0.9492558883000001	0.9491552178	0.9551716076000001	0.86759581	0.9489564127000001	0.8938933619	0.8902565473	1.0158127388	1.0334019177	1.0114410554	1.0324588614	0.9337023061	0.9280245697
GCF_000718915.1:383	0.9215801827000001	0.9322149505	1.0	1.0142244735000001	0.959579017	0.8639343399	0.9599098477	0.88102622	0.8795101515	0.9315693514000001	0.9327321769	0.9318110308	0.9325673219	0.9259103664	0.9219503595
GCF_001270675.1:384	0.9217638705000001	0.9323590651	1.0144888548	1.0	0.9583937689	0.8642822217	0.960056698	0.8813283655	0.8782655471	0.9329657254	0.9341363268	0.9332688687	0.9339746670000001	0.9246569337	0.9223266908000001
GCF_002082175.1:385	0.9355818467	0.9516816794	0.9735500493	0.9720941455000001	1.0	0.8794093515	0.968528476	0.8959947802	0.8947201538	0.9562422902000001	0.9509122295	0.9566024448	0.9509061659	0.9369445222	0.938576524
GCF_013401535.1:386	0.8591490862000001	0.8692408065	0.8813951025000001	0.8815202264	0.8843077586	1.0	0.8822918027000001	0.8983981090000001	0.8971111746	0.8733357249	0.8756400374000001	0.8738254230000001	0.8752866417	0.8831369290000001	0.8746666115
GCF_014748265.1:387	0.924653641	0.9348067603	0.9628824312	0.9627787655000001	0.9575857381	0.8674913711000001	1.0	0.8830429757	0.8818648087000001	0.9411421088	0.9441960006000001	0.9417735953	0.9440007844	0.9260129108	0.9271173877000001
GCF_016521585.1:388	0.8827995876	0.8945629977	0.8978034867	0.8978773332000001	0.8999541695000001	0.8973696705	0.8970806289000001	1.0	1.0103725084	0.8983559394	0.8995541045000001	0.8987617142000001	0.8995541045000001	0.8898265471000001	0.8871617306
GCF_016624005.1:389	0.8819669001	0.8914069836	0.8967449682	0.8952426087	0.8991616418	0.8965705350000001	0.8963699496	1.010920861	1.0	0.9005036599	0.9017158052	0.9009369498	0.9017155513	0.8942507265	0.8873441131
GCF_016906185.1:390	0.9480909138	0.9975276704	0.9315233047	0.9326764858000001	0.9424730468	0.8559923085000001	0.9381902652	0.8815247738	0.8831529480000001	1.0	1.0540538387	1.0268560961	1.0533364311	0.9234624916	0.9186978690000001
GCF_016906205.1:391	0.9491285864000001	1.0084073049	0.9268104353000001	0.9279637751	0.9313155373	0.8528441418	0.9353050882	0.8771397471	0.8787706551000001	1.0474136214	1.0	1.037069072	1.0005233455	0.9194404187	0.9145484369
GCF_016906225.1:392	0.9459405326	0.9905795493	0.9292741640000001	0.9304854801	0.9403076333	0.8541827472	0.9363101039	0.8795653765	0.8812158956	1.0241110889	1.0408538245	1.0	1.0483418815	0.9223661232	0.9168318179
GCF_016906245.1:393	0.9487745496000001	1.0073083435	0.9264822525	0.9276386038000001	0.9311443970000001	0.8523487243000001	0.9349458341	0.8769841545	0.8786145258	1.0465150628	1.0003458663	1.0443446155	1.0	0.9191747748	0.9154810808
GCF_016906265.1:394	0.8803498665	0.8957235125	0.9044857428	0.9030259184	0.9021299789	0.8456115931	0.9017933022	0.8529934245	0.8567694824000001	0.9021391012000001	0.9039042213	0.9034832538	0.9038033886	1.0	0.9158108758
GCF_017311125.1:395	0.9073078213	0.9196585696	0.930340488	0.9304776934000001	0.9335262418	0.8651412826	0.9326663207	0.8785059939000001	0.8782099720000001	0.9271042246000001	0.9287677773	0.927701043	0.9298798699	0.9460354297	1.0
