	GCF_000718705.1:1	GCF_000719625.1:2	GCF_000720235.1:3	GCF_000720455.1:4	GCF_000966965.1:5	GCF_001279445.1:6	GCF_001279485.1:7	GCF_001279495.1:8	GCF_001279685.1:9	GCF_001279765.1:10	GCF_001279815.1:11	GCF_001279845.1:12	GCF_001279855.1:13	GCF_001279885.1:14	GCF_001279905.1:15	GCF_001279925.1:16	GCF_001279935.1:17	GCF_001279965.1:18	GCF_008086975.1:19	GCF_014217585.1:20	GCF_014648795.1:21	GCF_016755835.1:22	GCF_017876235.1:23
GCF_000718705.1:1	1	1948	262321	265737	257900	37349	44405	262999	262369	263331	264922	42386	264110	43531	264511	40588	263945	264314	32872	41686	46744	44982	45125
GCF_000719625.1:2	1948	1	261958	264797	257492	36839	43116	262049	262148	263263	263763	41682	263216	43196	264181	40054	263328	263523	32654	41032	46160	44728	44715
GCF_000720235.1:3	262321	261958	1	33570	1684	231156	246130	66212	65387	64777	62185	260551	61985	265041	63930	262496	64506	61849	202671	262268	262178	261605	261464
GCF_000720455.1:4	265737	264797	33570	1	31590	233515	248906	63819	65440	64618	59107	265430	58779	265730	62688	265192	62149	58716	205702	265809	267837	266610	266804
GCF_000966965.1:5	257900	257492	1684	31590	1	227022	241955	62804	62758	61802	59296	255583	59106	260273	60852	257988	62019	59103	200124	257562	257730	256799	257112
GCF_001279445.1:6	37349	36839	231156	233515	227022	1	33878	232379	232459	233527	233997	35245	232938	35973	233675	2716	234609	233533	29808	36112	36229	34319	34498
GCF_001279485.1:7	44405	43116	246130	248906	241955	33878	1	245753	244837	246353	247121	35380	246243	36397	246585	37022	248091	247047	28094	34033	42152	40148	39579
GCF_001279495.1:8	262999	262049	66212	63819	62804	232379	245753	1	26319	31468	31830	261547	31944	263239	31610	262681	28682	31309	204818	261611	262197	261320	261535
GCF_001279685.1:9	262369	262148	65387	65440	62758	232459	244837	26319	1	32685	30506	262204	30747	262340	33751	261312	29406	30462	205294	261615	264621	263170	263544
GCF_001279765.1:10	263331	263263	64777	64618	61802	233527	246353	31468	32685	1	35884	262272	36085	264595	35493	265364	35355	35726	206027	263179	264845	263873	264036
GCF_001279815.1:11	264922	263763	62185	59107	59296	233997	247121	31830	30506	35884	1	262263	1914	264425	35866	264018	33305	1663	204621	262055	264984	263468	263588
GCF_001279845.1:12	42386	41682	260551	265430	255583	35245	35380	261547	262204	262272	262263	1	262114	38549	264581	36967	261961	261985	30052	38027	40159	37920	37784
GCF_001279855.1:13	264110	263216	61985	58779	59106	232938	246243	31944	30747	36085	1914	262114	1	263876	36151	263704	33740	2248	204972	261241	263927	262218	262275
GCF_001279885.1:14	43531	43196	265041	265730	260273	35973	36397	263239	262340	264595	264425	38549	263876	1	264632	39853	264531	264185	30816	38415	43832	41771	41892
GCF_001279905.1:15	264511	264181	63930	62688	60852	233675	246585	31610	33751	35493	35866	264581	36151	264632	1	278933	33388	35685	207863	264002	266868	265539	265902
GCF_001279925.1:16	40588	40054	262496	265192	257988	2716	37022	262681	261312	265364	264018	36967	263704	39853	278933	1	265942	264499	29506	39459	39953	37913	38232
GCF_001279935.1:17	263945	263328	64506	62149	62019	234609	248091	28682	29406	35355	33305	261961	33740	264531	33388	265942	1	33363	206452	261765	266658	265548	265537
GCF_001279965.1:18	264314	263523	61849	58716	59103	233533	247047	31309	30462	35726	1663	261985	2248	264185	35685	264499	33363	1	204435	261290	264360	262665	262967
GCF_008086975.1:19	32872	32654	202671	205702	200124	29808	28094	204818	205294	206027	204621	30052	204972	30816	207863	29506	206452	204435	1	27228	33609	31601	31721
GCF_014217585.1:20	41686	41032	262268	265809	257562	36112	34033	261611	261615	263179	262055	38027	261241	38415	264002	39459	261765	261290	27228	1	41388	39944	39496
GCF_014648795.1:21	46744	46160	262178	267837	257730	36229	42152	262197	264621	264845	264984	40159	263927	43832	266868	39953	266658	264360	33609	41388	1	3399	3409
GCF_016755835.1:22	44982	44728	261605	266610	256799	34319	40148	261320	263170	263873	263468	37920	262218	41771	265539	37913	265548	262665	31601	39944	3399	1	241
GCF_017876235.1:23	45125	44715	261464	266804	257112	34498	39579	261535	263544	264036	263588	37784	262275	41892	265902	38232	265537	262967	31721	39496	3409	241	1
