	Streptomyces platensis strain ATCC 23948 chromosome, complete genome:196	Streptomyces caniferus strain NBRC 15389 sequence01, whole genome shotgun sequence:197	Streptomyces sp. RPA4-5 chromosome:198
Streptomyces platensis strain ATCC 23948 chromosome, complete genome:196	1.0	0.901370435	0.9643611681
Streptomyces caniferus strain NBRC 15389 sequence01, whole genome shotgun sequence:197	0.901370435	1.0	0.9012265932
Streptomyces sp. RPA4-5 chromosome:198	0.9643611681	0.9012265932	1.0
