	Streptomyces sp. LBUM 1482 chromosome:75	Streptomyces sp. LBUM 1475 chromosome:76	Streptomyces sp. LBUM 1487 LBUM1487seq1, whole genome shotgun sequence:77	Streptomyces sp. LBUM 1488 LBUM1488seq1, whole genome shotgun sequence:78	Streptomyces sp. LBUM 1483 LBUM1483seq1, whole genome shotgun sequence:79	Streptomyces sp. LBUM 1481 LBUM1481seq1, whole genome shotgun sequence:80	Streptomyces sp. LBUM 1486 LBUM1486seq1, whole genome shotgun sequence:379	Streptomyces sp. LBUM 1477 LBUM1477seq1, whole genome shotgun sequence:380	Streptomyces scabiei strain 96-08 9608_1.1, whole genome shotgun sequence:608	Streptomyces scabiei 87.22, complete sequence:655	Streptomyces scabiei strain 85-08 8508_1.1, whole genome shotgun sequence:656	Streptomyces scabiei strain 95-18 9518_1.1, whole genome shotgun sequence:657	Streptomyces scabiei strain 96-06 9606_1001.1.1, whole genome shotgun sequence:658	Streptomyces scabiei strain ST129 NODE_1000_length_1814_cov_35.8931_ID_2001, whole genome shotgun sequence:659	Streptomyces sp. LBUM 1480 chromosome:660	Streptomyces sp. LBUM 1479 LBUM1479seq1, whole genome shotgun sequence:661
Streptomyces sp. LBUM 1482 chromosome:75	1.0	0.9996498467	0.9994920241	0.9992770062	0.9957887714	0.9953662184000001	0.9954767235	0.9995327947	0.9928705712	0.9956531415000001	0.9955663027	0.9956004292	0.9956260049000001	0.9953464585	0.9956720743	0.9951977420000001
Streptomyces sp. LBUM 1475 chromosome:76	0.9996498467	1.0	0.9992466130000001	0.9988544918000001	0.9952849832	0.9950758717	0.9957330702	0.9992386013000001	0.9932261318000001	0.9954111790000001	0.9955356305	0.9958782225	0.99585703	0.9957246144	0.9954742399000001	0.9957279008000001
Streptomyces sp. LBUM 1487 LBUM1487seq1, whole genome shotgun sequence:77	0.9994920241	0.9992466130000001	1.0	0.9993321661000001	0.9955310279	0.994986012	0.9954382213	0.9996470236	0.9924931382000001	0.9953803173	0.9952556499	0.9953014717	0.9952474822	0.9950810881000001	0.9954076025	0.9950449139
Streptomyces sp. LBUM 1488 LBUM1488seq1, whole genome shotgun sequence:78	0.9992770062	0.9988544918000001	0.9993321661000001	1.0	0.9955283539	0.9949873248000001	0.9955680557000001	0.9992855635000001	0.9924713861000001	0.9954756046000001	0.9955318442000001	0.9955330470000001	0.9951053209	0.9955337338	0.9953570587	0.9950220774
Streptomyces sp. LBUM 1483 LBUM1483seq1, whole genome shotgun sequence:79	0.9957887714	0.9952849832	0.9955310279	0.9955283539	1.0	0.9994148136000001	0.9951573255	0.9956783158	0.9925499171000001	0.9948070980000001	0.9951257371000001	0.9953434629000001	0.9953902349	0.9951211017	0.9952353539000001	0.9949419815
Streptomyces sp. LBUM 1481 LBUM1481seq1, whole genome shotgun sequence:80	0.9953662184000001	0.9950758717	0.994986012	0.9949873248000001	0.9994148136000001	1.0	0.9947202792000001	0.9951245229000001	0.9918973041	0.9941069078	0.9944520455	0.9948702627	0.9946865484	0.9947234799	0.9946079115	0.9944071320000001
Streptomyces sp. LBUM 1486 LBUM1486seq1, whole genome shotgun sequence:379	0.9954767235	0.9957330702	0.9954382213	0.9955680557000001	0.9951573255	0.9947202792000001	1.0	0.9955786796	0.993632638	0.9958469131000001	0.9958490873	0.9957324109000001	0.9964056109	0.9955588519	0.9998318558	0.9962251677
Streptomyces sp. LBUM 1477 LBUM1477seq1, whole genome shotgun sequence:380	0.9995327947	0.9992386013000001	0.9996470236	0.9992855635000001	0.9956783158	0.9951245229000001	0.9955786796	1.0	0.9927795688000001	0.9954708627000001	0.9955158216000001	0.9954291855	0.9953634295	0.9949901258	0.9955415333000001	0.995277492
Streptomyces scabiei strain 96-08 9608_1.1, whole genome shotgun sequence:608	0.9928705712	0.9932261318000001	0.9924931382000001	0.9924713861000001	0.9925499171000001	0.9918973041	0.993632638	0.9927795688000001	1.0	0.9934346437	0.9938675488000001	0.9943177332	0.9986142269	0.9942577687	0.9939669505000001	0.9974282507000001
Streptomyces scabiei 87.22, complete sequence:655	0.9956531415000001	0.9954111790000001	0.9953803173	0.9954756046000001	0.9948070980000001	0.9941069078	0.9958469131000001	0.9954708627000001	0.9934346437	1.0	0.9996946146000001	0.9958360421	0.9957467590000001	0.9958192539	0.9959715331000001	0.9956403965
Streptomyces scabiei strain 85-08 8508_1.1, whole genome shotgun sequence:656	0.9955663027	0.9955356305	0.9952556499	0.9955318442000001	0.9951257371000001	0.9944520455	0.9958490873	0.9955158216000001	0.9938675488000001	0.9996946146000001	1.0	0.9958579966000001	0.9958631504000001	0.9959524775	0.9960171772	0.9954649430000001
Streptomyces scabiei strain 95-18 9518_1.1, whole genome shotgun sequence:657	0.9956004292	0.9958782225	0.9953014717	0.9955330470000001	0.9953434629000001	0.9948702627	0.9957324109000001	0.9954291855	0.9943177332	0.9958360421	0.9958579966000001	1.0	0.9960947769	0.9990226945	0.9960773562	0.995723337
Streptomyces scabiei strain 96-06 9606_1001.1.1, whole genome shotgun sequence:658	0.9956260049000001	0.99585703	0.9952474822	0.9951053209	0.9953902349	0.9946865484	0.9964056109	0.9953634295	0.9986142269	0.9957467590000001	0.9958631504000001	0.9960947769	1.0	0.9961360565	0.9961032612	0.9994692599
Streptomyces scabiei strain ST129 NODE_1000_length_1814_cov_35.8931_ID_2001, whole genome shotgun sequence:659	0.9953464585	0.9957246144	0.9950810881000001	0.9955337338	0.9951211017	0.9947234799	0.9955588519	0.9949901258	0.9942577687	0.9958192539	0.9959524775	0.9990226945	0.9961360565	1.0	0.9958948441000001	0.9957864158
Streptomyces sp. LBUM 1480 chromosome:660	0.9956720743	0.9954742399000001	0.9954076025	0.9953570587	0.9952353539000001	0.9946079115	0.9998318558	0.9955415333000001	0.9939669505000001	0.9959715331000001	0.9960171772	0.9960773562	0.9961032612	0.9958948441000001	1.0	0.9960380407
Streptomyces sp. LBUM 1479 LBUM1479seq1, whole genome shotgun sequence:661	0.9951977420000001	0.9957279008000001	0.9950449139	0.9950220774	0.9949419815	0.9944071320000001	0.9962251677	0.995277492	0.9974282507000001	0.9956403965	0.9954649430000001	0.995723337	0.9994692599	0.9957864158	0.9960380407	1.0
